date;AAPL;GE;GME;PG;TSLA
2001-06-13;0.007878;-0.018864;;-0.008397;
2001-06-14;-0.028823;0.021108;;-0.001386;
2001-06-15;0.028169;-0.001023;;-0.034844;
2001-06-18;-0.005382;0.003893;;-0.007188;
2001-06-19;-0.006886;-0.002653;;0.004183;
2001-06-20;0.073304;0.038879;;0.002243;
2001-06-21;0.03784;0.009454;;-0.003197;
2001-06-22;-0.010227;0.011903;;0.014916;
2001-06-25;0.077718;-0.031045;;-0.007585;
2001-06-26;-0.010004;-0.029055;;0.016879;
2001-06-27;-0.017263;-0.010863;;-0.007203;
2001-06-28;0.008569;0.01264;;0.003943;
2001-06-29;-0.01232;-0.002455;;0.002357;
2001-07-02;0.027957;0.029744;;0.010502;
2001-07-03;-0.00251;-0.013745;;0.002016;
2001-07-05;-0.027265;-0.017774;;-0.001084;
2001-07-06;-0.050022;-0.032598;;0.007283;
2001-07-09;0.030413;-0.000853;;0.017539;
2001-07-10;-0.068723;-0.023266;;0.013154;
2001-07-11;0.066225;-0.025131;;0.025966;
2001-07-12;0.080745;0.053575;;0.0;
2001-07-13;0.020115;0.009574;;-0.008873;
2001-07-16;-0.035815;-0.025922;;0.014823;
2001-07-17;0.047579;-0.00238;;0.01128;
2001-07-18;-0.171713;0.000868;;-0.005005;
2001-07-19;-0.039923;0.007151;;-0.011705;
2001-07-20;0.001002;0.003227;;-0.004387;
2001-07-23;-0.022022;-0.028522;;-0.004259;
2001-07-24;-0.02303;-0.028698;;0.004277;
2001-07-25;-0.032478;-0.004545;;0.028051;
2001-07-26;0.006497;-0.001142;;0.014286;
2001-07-27;0.019903;0.020572;;-0.007465;
2001-07-30;-0.001582;-0.023516;;0.00894;
2001-07-31;-0.007396;-0.002294;;-0.001125;
2001-08-01;0.014369;-0.016092;;0.006759;
2001-08-02;0.039874;-0.014019;;-0.000559;
2001-08-03;-0.016145;0.013033;;-0.017352;
2001-08-06;-0.018974;-0.031813;;0.007548;
2001-08-07;0.006273;0.033341;;-0.001979;
2001-08-08;-0.018182;-0.026187;;-0.010763;
2001-08-09;0.007936;0.006002;;0.012169;
2001-08-10;-0.001575;0.01599;;0.016549;
2001-08-13;0.00368;-0.007987;;0.003479;
2001-08-14;-0.018858;-0.008998;;0.005269;
2001-08-15;-0.015483;-0.001673;;-0.004414;
2001-08-16;0.011388;-0.004308;;0.027847;
2001-08-17;-0.031099;-0.019231;;0.007548;
2001-08-20;0.002767;0.017892;;0.012442;
2001-08-21;-0.011038;-0.025524;;-0.011892;
2001-08-22;0.016183;0.00939;;0.011634;
2001-08-23;-0.021966;0.004651;;0.017052;
2001-08-24;0.042673;0.023148;;0.00078;
2001-08-27;0.018848;0.004287;;-0.002078;
2001-08-28;-0.027484;-0.022291;;-0.024076;
2001-08-29;-0.030978;-0.015038;;-0.012935;
2001-08-30;0.0;-0.010096;;0.007701;
